iter	Passed	Remaining
418	1943	2694
419	1946	2687
420	1949	2680
421	1952	2673
422	1955	2667
423	1958	2660
424	1961	2653
425	1964	2646
426	1967	2639
427	1970	2632
428	1973	2626
429	1976	2620
430	1979	2613
431	1982	2606
432	1985	2600
433	1989	2594
434	1992	2587
435	1995	2581
436	1998	2574
437	2001	2568
438	2005	2562
439	2008	2555
440	2011	2549
441	2014	2542
442	2016	2535
443	2019	2529
444	2022	2522
445	2025	2515
446	2028	2509
447	2031	2502
448	2034	2496
449	2036	2489
450	2039	2483
451	2042	2476
452	2045	2469
453	2048	2463
454	2050	2456
455	2053	2450
456	2056	2443
457	2059	2437
458	2062	2431
459	2065	2425
460	2069	2419
461	2072	2413
462	2075	2407
463	2078	2401
464	2081	2394
465	2084	2388
466	2087	2382
467	2090	2376
468	2093	2369
469	2095	2363
470	2099	2357
471	2102	2351
472	2105	2345
473	2108	2339
474	2111	2333
475	2114	2327
476	2117	2321
477	2120	2315
478	2122	2308
479	2125	2302
480	2127	2296
481	2130	2289
482	2133	2283
483	2136	2277
484	2139	2272
485	2142	2266
486	2145	2260
487	2148	2254
488	2151	2248
489	2154	2242
490	2157	2236
491	2160	2230
492	2163	2225
493	2166	2219
494	2169	2213
495	2172	2207
496	2174	2201
497	2177	2195
498	2180	2189
499	2183	2183
500	2187	2178
501	2190	2172
502	2193	2167
503	2196	2161
504	2199	2155
505	2202	2150
506	2205	2144
507	2209	2139
508	2212	2134
509	2215	2128
510	2218	2122
511	2221	2117
512	2224	2111
513	2227	2105
514	2229	2099
515	2233	2094
516	2236	2089
517	2239	2083
518	2242	2078
519	2245	2072
520	2247	2066
521	2250	2061
522	2253	2055
523	2256	2049
524	2259	2044
525	2262	2039
526	2266	2033
527	2269	2028
528	2272	2023
529	2275	2018
530	2278	2012
531	2281	2007
532	2284	2001
533	2287	1996
534	2290	1991
535	2293	1985
536	2296	1980
537	2299	1974
538	2302	1969
539	2305	1964
540	2309	1959
541	2312	1954
542	2315	1949
543	2318	1943
544	2321	1938
545	2324	1933
546	2328	1927
547	2330	1922
548	2333	1917
549	2336	1911
550	2339	1906
551	2342	1901
552	2345	1895
553	2347	1890
554	2350	1884
555	2353	1879
556	2356	1874
557	2359	1868
558	2362	1863
559	2365	1858
560	2368	1853
561	2371	1848
562	2374	1843
563	2377	1837
564	2380	1832
565	2383	1827
566	2386	1822
567	2389	1817
568	2392	1812
569	2395	1807
570	2398	1801
571	2400	1796
572	2404	1791
573	2407	1786
574	2410	1781
575	2413	1776
576	2415	1771
577	2418	1765
578	2421	1761
579	2425	1756
580	2428	1751
581	2431	1746
582	2434	1741
583	2437	1736
584	2440	1731
585	2443	1726
586	2446	1721
587	2450	1716
588	2453	1712
589	2456	1706
590	2459	1702
591	2463	1697
592	2466	1692
593	2470	1688
594	2473	1683
595	2476	1678
596	2480	1674
597	2483	1669
598	2486	1664
599	2490	1660
600	2493	1655
601	2497	1650
602	2500	1646
603	2503	1641
604	2507	1636
605	2510	1632
606	2514	1627
607	2517	1623
608	2520	1618
609	2524	1614
610	2527	1609
611	2530	1604
612	2534	1599
613	2537	1594
614	2540	1590
615	2543	1585
616	2547	1581
617	2550	1576
618	2554	1572
619	2558	1567
620	2561	1563
621	2564	1558
622	2568	1554
623	2571	1549
624	2574	1544
625	2577	1540
626	2581	1535
627	2584	1531
628	2588	1526
629	2591	1521
630	2594	1517
631	2597	1512
632	2599	1507
633	2602	1502
634	2605	1497
635	2608	1493
636	2612	1488
637	2615	1484
638	2618	1479
639	2621	1474
640	2624	1470
641	2627	1465
642	2630	1460
643	2633	1455
644	2636	1451
645	2639	1446
646	2642	1441
647	2645	1437
648	2648	1432
649	2651	1427
650	2654	1422
651	2656	1418
652	2659	1413
653	2662	1408
654	2665	1403
655	2668	1399
656	2671	1394
657	2673	1389
658	2677	1385
659	2680	1380
660	2683	1376
661	2686	1371
662	2689	1366
663	2692	1362
664	2695	1357
665	2698	1353
666	2701	1348
667	2704	1344
668	2707	1339
669	2709	1334
670	2712	1329
671	2715	1325
672	2717	1320
673	2720	1315
674	2722	1310
675	2725	1306
676	2727	1301
677	2730	1296
678	2732	1291
679	2735	1287
680	2737	1282
681	2740	1277
682	2743	1273
683	2746	1268
684	2749	1264
685	2751	1259
686	2754	1255
687	2757	1250
688	2760	1245
689	2763	1241
690	2766	1237
691	2768	1232
692	2772	1228
693	2775	1223
694	2778	1219
695	2781	1215
696	2785	1210
697	2788	1206
698	2791	1202
699	2794	1197
700	2798	1193
701	2801	1189
702	2804	1184
703	2808	1180
704	2811	1176
705	2814	1172
706	2817	1167
707	2820	1163
708	2824	1159
709	2827	1154
710	2830	1150
711	2833	1145
712	2836	1141
713	2839	1137
714	2842	1133
715	2845	1128
716	2848	1124
717	2851	1119
718	2854	1115
719	2857	1111
720	2860	1107
721	2863	1102
722	2867	1098
723	2869	1094
724	2873	1089
725	2876	1085
726	2879	1081
727	2882	1077
728	2886	1072
729	2889	1068
730	2892	1064
731	2895	1060
732	2898	1055
733	2901	1051
734	2904	1047
735	2907	1042
736	2909	1038
737	2913	1034
738	2915	1029
739	2919	1025
740	2922	1021
741	2926	1017
742	2929	1013
743	2931	1008
744	2934	1004
745	2938	1000
746	2941	996
747	2943	991
748	2946	987
749	2949	983
750	2953	979
751	2955	974
752	2958	970
753	2962	966
754	2965	962
755	2968	958
756	2971	953
757	2974	949
758	2977	945
759	2980	941
760	2983	936
761	2986	932
762	2989	928
763	2992	924
764	2995	920
765	2998	915
766	3001	911
767	3004	907
768	3007	903
769	3010	899
770	3013	895
771	3016	890
772	3019	886
773	3022	882
774	3025	878
775	3029	874
776	3032	870
777	3034	865
778	3037	861
779	3040	857
780	3043	853
781	3046	849
782	3049	845
783	3052	840
784	3055	836
785	3058	832
786	3061	828
787	3064	824
788	3068	820
789	3071	816
790	3073	812
791	3076	807
792	3079	803
793	3082	799
794	3085	795
795	3088	791
796	3091	787
797	3094	783
798	3097	779
799	3100	775
800	3103	771
801	3106	766
802	3109	762
803	3112	758
804	3115	754
805	3118	750
806	3121	746
807	3124	742
808	3127	738
809	3131	734
810	3133	730
811	3137	726
812	3140	722
813	3143	718
814	3146	714
815	3149	710
816	3151	705
817	3153	701
818	3156	697
819	3158	693
820	3160	689
821	3163	685
822	3165	680
823	3168	676
824	3170	672
825	3172	668
826	3175	664
827	3178	660
828	3180	656
829	3183	652
830	3186	647
831	3189	644
832	3191	639
833	3194	635
834	3196	631
835	3198	627
836	3201	623
837	3203	619
838	3205	615
839	3208	611
840	3210	606
841	3212	602
842	3215	598
843	3217	594
844	3219	590
845	3222	586
846	3224	582
847	3226	578
848	3228	574
849	3231	570
850	3233	566
851	3235	562
852	3238	558
853	3240	553
854	3242	549
855	3245	545
856	3247	541
857	3249	537
858	3252	533
859	3254	529
860	3256	525
861	3259	521
862	3261	517
863	3263	513
864	3265	509
865	3268	505
866	3270	501
867	3272	497
868	3275	493
869	3277	489
870	3279	485
871	3282	481
872	3284	477
873	3286	473
874	3289	469
875	3291	465
876	3293	461
877	3295	457
878	3298	454
879	3300	450
880	3302	446
881	3305	442
882	3307	438
883	3309	434
884	3312	430
885	3314	426
886	3316	422
887	3319	418
888	3321	414
889	3323	410
890	3326	406
891	3328	402
892	3330	399
893	3333	395
894	3335	391
895	3337	387
896	3340	383
897	3342	379
898	3344	375
899	3347	371
900	3349	368
901	3351	364
902	3353	360
903	3356	356
904	3358	352
905	3360	348
906	3363	344
907	3365	341
908	3368	337
909	3370	333
910	3372	329
911	3375	325
912	3377	321
913	3379	318
914	3382	314
915	3384	310
916	3386	306
917	3389	302
918	3391	298
919	3394	295
920	3396	291
921	3398	287
922	3400	283
923	3403	279
924	3405	276
925	3408	272
926	3410	268
927	3412	264
928	3415	261
929	3417	257
930	3419	253
931	3422	249
932	3424	245
933	3426	242
934	3429	238
935	3431	234
936	3433	230
937	3436	227
938	3438	223
939	3440	219
940	3443	215
941	3445	212
942	3447	208
943	3449	204
944	3452	200
945	3454	197
946	3456	193
947	3459	189
948	3461	186
949	3463	182
950	3465	178
951	3468	174
952	3470	171
953	3472	167
954	3474	163
955	3477	160
956	3479	156
957	3481	152
958	3483	148
959	3486	145
960	3488	141
961	3490	137
962	3492	134
963	3495	130
964	3497	126
965	3499	123
966	3502	119
967	3504	115
968	3506	112
969	3509	108
970	3511	104
971	3513	101
972	3516	97
973	3518	93
974	3520	90
975	3522	86
976	3525	82
977	3527	79
978	3529	75
979	3532	72
980	3534	68
981	3536	64
982	3539	61
983	3541	57
984	3543	53
985	3546	50
986	3548	46
987	3550	43
988	3553	39
989	3555	35
990	3557	32
991	3560	28
992	3562	25
993	3564	21
994	3567	17
995	3569	14
996	3571	10
997	3573	7
998	3576	3
999	3578	0
15	25
994	4219	21
995	4222	16
996	4224	12
997	4227	8
998	4230	4
999	4233	0
2	96
987	7356	89
988	7361	81
989	7365	74
990	7370	66
991	7375	59
992	7379	52
993	7383	44
994	7387	37
995	7391	29
996	7395	22
997	7399	14
998	7404	7
999	7409	0
	7295	0
