iter	Logloss
0	0.6799049735
1	0.6662826522
2	0.654071644
3	0.6420405659
4	0.6308915115
5	0.6207028932
6	0.6101282878
7	0.6012263371
8	0.5921318712
9	0.5834235987
10	0.5753917461
11	0.5680421759
12	0.5610897291
13	0.553991251
14	0.5475914925
15	0.5416175672
16	0.5360948403
17	0.5307786031
18	0.5252370666
19	0.5202800056
20	0.5158921656
21	0.5113852215
22	0.507010968
23	0.5031799155
24	0.4996767589
25	0.4959607786
26	0.4923925325
27	0.4890800012
28	0.4860639598
29	0.4831505291
30	0.4803096037
31	0.4776917748
32	0.4753060346
33	0.4732377644
34	0.47066697
35	0.4684886357
36	0.4665454495
37	0.4643958394
38	0.4623071289
39	0.4606237425
40	0.4589289069
41	0.4574010533
42	0.4557825065
43	0.454208625
44	0.4524894858
45	0.4510876868
46	0.4496041641
47	0.4483463426
48	0.4470773026
49	0.4457401698
50	0.4442897614
51	0.4429996382
52	0.4417257118
53	0.4405746545
54	0.4394816905
55	0.4383511779
56	0.4373259921
57	0.4362414276
58	0.4353745099
59	0.4344008858
60	0.4334885531
61	0.4327349114
62	0.4318531851
63	0.4310565615
64	0.4303615314
65	0.4296366324
66	0.4289394027
67	0.4282134559
68	0.4274310036
69	0.4268316833
70	0.4263248596
71	0.4255947365
72	0.4250306644
73	0.4245034302
74	0.4239239314
75	0.423345318
76	0.4228655068
77	0.4223987025
78	0.4220021488
79	0.4214797489
80	0.4209921329
81	0.4204551931
82	0.4200159597
83	0.419451839
84	0.4189965541
85	0.4184831442
86	0.4181644059
87	0.4176599386
88	0.4172404607
89	0.4167319842
90	0.4162990568
91	0.4159028223
92	0.4154986448
93	0.4151362342
94	0.4147689565
95	0.4144844512
96	0.4141347738
97	0.4137993331
98	0.4133856134
99	0.4130982327
100	0.4126874013
101	0.4123670135
102	0.4120643483
103	0.4117479574
104	0.4114571705
105	0.411302789
106	0.4110242349
107	0.4106993393
108	0.4103901463
109	0.4100937938
110	0.4098693188
111	0.4096768164
112	0.4094440274
113	0.4091420735
114	0.4088485557
115	0.408703633
116	0.4084738422
117	0.4084128051
118	0.4082367809
119	0.4080938793
120	0.4079266264
121	0.4076724509
122	0.4075304955
123	0.4073187654
124	0.4071532889
125	0.4069263697
126	0.4067076174
127	0.4064775319
128	0.4062952737
129	0.4061997644
130	0.4058922878
131	0.4057343389
132	0.4054412113
133	0.4052784739
134	0.4050352026
135	0.4048752505
136	0.4047403204
137	0.4045498884
138	0.4042914224
139	0.4041342881
140	0.4040057268
141	0.4037721127
142	0.4036118781
143	0.4034948946
144	0.4033688176
145	0.403156889
146	0.4029920784
147	0.4028137871
148	0.4025717051
149	0.4023967001
150	0.4022393179
151	0.4021085173
152	0.4019435808
153	0.4017052938
154	0.4015245826
155	0.4014094603
156	0.4012872663
157	0.4011291098
158	0.4009678245
159	0.4008088575
160	0.4006690816
161	0.4004419784
162	0.4002486744
163	0.4001390362
164	0.3999927336
165	0.3998794915
166	0.3997194375
167	0.399595943
168	0.3994344115
169	0.3992447799
170	0.3991019367
171	0.3989831011
172	0.3988118249
173	0.3987394195
174	0.3985913063
175	0.3984189894
176	0.3983415706
177	0.3982081137
178	0.3980860611
179	0.3979258544
180	0.3977946404
181	0.3976448475
182	0.3974979404
183	0.3972834515
184	0.3971380244
185	0.3970108713
186	0.3969211934
187	0.3967954601
188	0.39671811
189	0.3966156556
190	0.3964340875
191	0.3963496835
192	0.3961828395
193	0.3960779471
194	0.3958994951
195	0.3957823186
196	0.3956628995
197	0.3955009008
198	0.3952510416
199	0.3950780296
200	0.3949385144
201	0.3947837886
202	0.3946413511
203	0.3944847292
204	0.3943562654
205	0.3942554398
206	0.3940959431
207	0.3939624524
208	0.3938479173
209	0.3937065402
210	0.3936299952
211	0.3934739103
212	0.3932782679
213	0.3931870291
214	0.3930772554
215	0.3929397815
216	0.3928602252
217	0.3927124203
218	0.3926297152
219	0.3923537197
220	0.3922195631
221	0.3921072233
222	0.3919594127
223	0.3918351053
224	0.3917555951
225	0.3916469774
226	0.3915521296
227	0.3914212447
228	0.3912412702
229	0.3911182995
230	0.3909890938
231	0.3908266038
232	0.3906862885
233	0.390572941
234	0.390441026
235	0.3902713128
236	0.3901662275
237	0.3899586124
238	0.3898392199
239	0.389750896
240	0.3896673085
241	0.389515541
242	0.3893836556
243	0.3892927387
244	0.3892121169
245	0.3891082852
246	0.388972678
247	0.3888797586
248	0.38877875
249	0.3886534841
250	0.388570317
251	0.388423694
252	0.3883169807
253	0.3882227857
254	0.3881132768
255	0.3879916384
256	0.3878902942
257	0.3878136775
258	0.3877287006
259	0.3876977842
260	0.3876032094
261	0.387471095
262	0.3872933825
263	0.387226052
264	0.3871697939
265	0.3870790922
266	0.3869034172
267	0.3867919317
268	0.386646445
269	0.3865906568
270	0.386460909
271	0.3863504794
272	0.3862609342
273	0.3860910545
274	0.3860324365
275	0.3858982306
276	0.3858353755
277	0.3857614237
278	0.3856472155
279	0.3855684959
280	0.3855016327
281	0.3853835707
282	0.3852898488
283	0.3852002885
284	0.3851151944
285	0.3850604087
286	0.3849448975
287	0.3847864151
288	0.3847071337
289	0.3846170258
290	0.3845048504
291	0.384378275
292	0.3842802459
293	0.3841389964
294	0.3840335175
295	0.3839186776
296	0.3837893121
297	0.3836705709
298	0.3835747205
299	0.3834790533
300	0.3832326133
301	0.3830959371
302	0.3830108163
303	0.3829278973
304	0.382840687
305	0.3827776869
306	0.3826514731
307	0.3825634912
308	0.3824896004
309	0.3823897323
310	0.3822528153
311	0.3821359266
312	0.3820813771
313	0.3820267569
314	0.3819157199
315	0.3817693265
316	0.3816683969
317	0.3814775407
318	0.3813652472
319	0.3812407448
320	0.381120793
321	0.3810400881
322	0.3809884436
323	0.380848018
324	0.3807287667
325	0.3806575177
326	0.3805263374
327	0.3804265433
328	0.3803215096
329	0.38021608
330	0.3800885498
331	0.3799487716
332	0.3798752764
333	0.3798665993
334	0.3797104379
335	0.3796160478
336	0.379520939
337	0.3794424688
338	0.3792980088
339	0.379234761
340	0.3790956341
341	0.3789846512
342	0.3789104689
343	0.3787833431
344	0.3786942602
345	0.3785992974
346	0.3785132711
347	0.3784191136
348	0.3783079724
349	0.3782055147
350	0.3781172322
351	0.3780368415
352	0.3779021593
353	0.3777862963
354	0.3777082209
355	0.3775972065
356	0.3775315976
357	0.3774190309
358	0.3773423836
359	0.377282453
360	0.3771802139
361	0.3770501125
362	0.3769320071
363	0.3768438981
364	0.3768026304
365	0.3766696335
366	0.3765886352
367	0.3765520528
368	0.376461462
369	0.3764099443
370	0.3762863801
371	0.3761861071
372	0.3760536127
373	0.3759193054
374	0.3758599972
375	0.3757870929
376	0.3756719231
377	0.3755850679
378	0.3754745159
379	0.3753430607
380	0.3752171247
381	0.3751554768
382	0.3750249461
383	0.3749529967
384	0.3749054674
385	0.3747396318
386	0.3746463195
387	0.3745081333
388	0.3744393658
389	0.3743504581
390	0.3742800599
391	0.374151635
392	0.3740923179
393	0.3739308208
394	0.3737824774
395	0.3737135587
396	0.3736131624
397	0.3734805638
398	0.3733469599
399	0.3732769285
400	0.3731711741
401	0.3731246257
402	0.3730510076
403	0.3729375004
404	0.3728224948
405	0.372715672
406	0.3726064608
407	0.372516872
408	0.37239549
409	0.372334009
410	0.3722618152
411	0.3721599633
412	0.3719456312
413	0.3718527952
414	0.3717381997
415	0.3716165251
416	0.3714333598
417	0.3713535301
418	0.3712235982
419	0.3710986631
420	0.3709664169
421	0.3708686507
422	0.370804049
423	0.3706892658
424	0.3705946369
425	0.3705104944
426	0.3703830358
427	0.3702590298
428	0.3700948882
429	0.3699724773
430	0.3699120556
431	0.369839485
432	0.3697353244
433	0.3695923219
434	0.3695088498
435	0.3694143518
436	0.3693235571
437	0.3691481358
438	0.3690756432
439	0.3689628204
440	0.3688975991
441	0.368826957
442	0.368689446
443	0.3685662904
444	0.3684858162
445	0.3683832005
446	0.3682241888
447	0.3681217507
448	0.3679898073
449	0.3678908222
450	0.3677870803
451	0.3676609686
452	0.3675726064
453	0.3674761724
454	0.367409705
455	0.3673019591
456	0.3671700955
457	0.367054058
458	0.3669897821
459	0.3668730823
460	0.3667649002
461	0.3666670608
462	0.3665928049
463	0.3664823641
464	0.3663727142
465	0.3662801903
466	0.3662031037
467	0.3661146532
468	0.3660156841
469	0.3659067628
470	0.3657825448
471	0.3657049613
472	0.3656181036
473	0.3655062633
474	0.3653845256
475	0.3652568497
476	0.3651854014
477	0.3650918538
478	0.3650047273
479	0.3649092912
480	0.3648091202
481	0.3646936108
482	0.3645723371
483	0.3644534608
484	0.364326852
485	0.3642286615
486	0.3640718424
487	0.3640131925
488	0.3639354991
489	0.3637720209
490	0.3636479653
491	0.36354798
492	0.3633895408
493	0.363331
494	0.363239107
495	0.3631621931
496	0.3630926167
497	0.362982273
498	0.3628784623
499	0.3628404742
500	0.3626688163
501	0.3625822749
502	0.3624603424
503	0.3622632363
504	0.3621764418
505	0.3620550551
506	0.361961499
507	0.3618301835
508	0.3617466879
509	0.3616475573
510	0.3615460033
511	0.3614053178
512	0.3612627791
513	0.3611820735
514	0.3610873291
515	0.3609817153
516	0.3608404465
517	0.3607591
518	0.3606953654
519	0.360593711
520	0.360531393
521	0.3604195043
522	0.3602994575
523	0.3602239953
524	0.3601518828
525	0.3600851678
526	0.3599754166
527	0.3598303854
528	0.3597335855
529	0.3596530649
530	0.3595613482
531	0.3594589422
532	0.3593821288
533	0.3592642173
534	0.35910027
535	0.3589752882
536	0.3589170638
537	0.3588206471
538	0.3587333651
539	0.3586229911
540	0.3584876357
541	0.3584166049
542	0.3582982246
543	0.3581877373
544	0.3581013466
545	0.3580104625
546	0.3578828369
547	0.3577652545
548	0.3576238286
549	0.3575413785
550	0.3574593283
551	0.3573969707
552	0.3573280104
553	0.3572082488
554	0.3571293444
555	0.3569998644
556	0.3569104761
557	0.3568118781
558	0.3567041075
559	0.356574312
560	0.3564646447
561	0.3563493188
562	0.3562341548
563	0.356177167
564	0.3560479657
565	0.3559496483
566	0.3558287173
567	0.3556906119
568	0.3555926937
569	0.3555276726
570	0.3554054575
571	0.3552953886
572	0.3551895378
573	0.3551237777
574	0.3550366499
575	0.354915856
576	0.3547767939
577	0.3547277584
578	0.3546115019
579	0.3545102572
580	0.3544129893
581	0.354347086
582	0.3542442144
583	0.3541329804
584	0.3540698762
585	0.3539566949
586	0.353848851
587	0.3537583936
588	0.3536739748
589	0.3535552838
590	0.3534955028
591	0.3534191872
592	0.3533162895
593	0.353179512
594	0.3530783488
595	0.352994485
596	0.3528878225
597	0.3527797745
598	0.3527042085
599	0.352622902
600	0.3525206982
601	0.3524043058
602	0.3523462628
603	0.3522378896
604	0.3521635829
605	0.3520706226
606	0.3519822889
607	0.3518514844
608	0.351778775
609	0.3517040145
610	0.3516362537
611	0.3515553642
612	0.3514135988
613	0.3513284005
614	0.3512130294
615	0.3511526979
616	0.3510206698
617	0.3509245748
618	0.3508321611
619	0.3507639546
620	0.3506770257
621	0.3505744958
622	0.350419111
623	0.3503009154
624	0.3502266371
625	0.3501541185
626	0.3500827406
627	0.3499357134
628	0.3498299319
629	0.3497069893
630	0.3496000171
631	0.3495339383
632	0.3493934098
633	0.3492921332
634	0.3491591414
635	0.3490713212
636	0.3489614317
637	0.3489058399
638	0.3488228503
639	0.3487687321
640	0.3486815294
641	0.3486123934
642	0.3485278626
643	0.3484413766
644	0.3483191387
645	0.3482346798
646	0.3481313503
647	0.3480649246
648	0.3480150852
649	0.3479038562
650	0.3478170009
651	0.3477581562
652	0.3476066213
653	0.3474961457
654	0.3474222991
655	0.3473181767
656	0.3472495125
657	0.3471453902
658	0.3470281207
659	0.3469648314
660	0.3469291282
661	0.346749256
662	0.3466594225
663	0.3465444435
664	0.3464566687
665	0.3463790585
666	0.34631675
667	0.3462220632
668	0.3461255718
669	0.3460308249
670	0.345932132
671	0.3458571082
672	0.345776761
673	0.3456814907
674	0.3456526759
675	0.3455730839
676	0.3454594628
677	0.345400596
678	0.3453249332
679	0.3452686969
680	0.345197729
681	0.3451212287
682	0.345075367
683	0.3450057222
684	0.3449066625
685	0.3448406536
686	0.3447407475
687	0.3446218613
688	0.3445387026
689	0.3445063738
690	0.3444294508
691	0.3443481259
692	0.3442600521
693	0.3441998902
694	0.3441383361
695	0.3439785824
696	0.3439031069
697	0.3438157557
698	0.3437397868
699	0.3436493683
700	0.3434782153
701	0.3434148403
702	0.3433216927
703	0.3432462069
704	0.3431874367
705	0.3430187529
706	0.342958165
707	0.3428655496
708	0.3427939798
709	0.342692419
710	0.3425935819
711	0.3424322356
712	0.342312024
713	0.3422807511
714	0.3421505507
715	0.3420263045
716	0.3419507669
717	0.3418685184
718	0.3417785702
719	0.3417046668
720	0.3416324361
721	0.3415539846
722	0.3414570698
723	0.341377288
724	0.3412777043
725	0.3411466241
726	0.3410686132
727	0.3409426679
728	0.3408543186
729	0.3407410884
730	0.3406464164
731	0.3405170036
732	0.3404622053
733	0.3403259371
734	0.3402620207
735	0.3401652069
736	0.3401176406
737	0.3400354456
738	0.3399088455
739	0.3397859991
740	0.3397374122
741	0.3396225108
742	0.3395181968
743	0.3394709017
744	0.3393874009
745	0.3392895733
746	0.3392343933
747	0.3391477732
748	0.3391171975
749	0.3390658667
750	0.3389711273
751	0.3389235921
752	0.338808511
753	0.3387324107
754	0.3386155657
755	0.3385041661
756	0.3384577474
757	0.3383593681
758	0.3382829103
759	0.3382123493
760	0.3381359533
761	0.3380816321
762	0.3380069329
763	0.3378884558
764	0.3378326786
765	0.3377986585
766	0.3376692545
767	0.3375555263
768	0.3374200215
769	0.3372961513
770	0.3371974555
771	0.3370843157
772	0.3369514191
773	0.3368375136
774	0.3367921852
775	0.3366617115
776	0.3365920596
777	0.3365481574
778	0.3364627779
779	0.3363558388
780	0.3363155948
781	0.3362262299
782	0.3361431942
783	0.3361000047
784	0.3360001416
785	0.3359541375
786	0.3359057269
787	0.3358282011
788	0.3357770596
789	0.3356947157
790	0.3356477173
791	0.3355581849
792	0.3354655083
793	0.3353406809
794	0.3352771068
795	0.335233005
796	0.3351315208
797	0.335038952
798	0.3349778244
799	0.3348990897
800	0.334842426
801	0.334804966
802	0.3347549869
803	0.3346463006
804	0.3345974963
805	0.3344931674
806	0.334341015
807	0.3342904974
808	0.3341725404
809	0.3340541827
810	0.3340044153
811	0.3338944592
812	0.3337963701
813	0.3336751494
814	0.3336471807
815	0.3335466958
816	0.3335005509
817	0.333417175
818	0.3333229331
819	0.333232199
820	0.3332026923
821	0.3330763058
822	0.3330044016
823	0.3329203325
824	0.3328807822
825	0.3328102845
826	0.3327562846
827	0.3326917549
828	0.3326504554
829	0.3325498652
830	0.3324439532
831	0.3323778458
832	0.3323289185
833	0.3321951556
834	0.332106513
835	0.3320477359
836	0.3319981205
837	0.331896379
838	0.3318721097
839	0.3317757755
840	0.3317083236
841	0.3316035262
842	0.3315169683
843	0.3314010284
844	0.3312732518
845	0.3311730594
846	0.3311055841
847	0.3310606024
848	0.3309608662
849	0.3309029369
850	0.3307759204
851	0.3306922689
852	0.3306502932
853	0.3305572962
854	0.3304962123
855	0.3303965848
856	0.3302809442
857	0.3302129208
858	0.3300610757
859	0.3300049681
860	0.3299108206
861	0.3297916478
862	0.3296718267
863	0.3295996668
864	0.3295272476
865	0.3294130256
866	0.3293671508
867	0.3292782732
868	0.3291822675
869	0.3290901815
870	0.3290349795
871	0.3289918092
872	0.3288764116
873	0.3287792955
874	0.3287523333
875	0.3287237862
876	0.3286112298
877	0.3285090756
878	0.3284246378
879	0.3283684323
880	0.3283288912
881	0.3282893505
882	0.3282524816
883	0.3281982191
884	0.3280854013
885	0.3280062707
886	0.3279687496
887	0.3278488442
888	0.3277751121
889	0.3277090557
890	0.3276178885
891	0.3275535785
892	0.3274731472
893	0.327434558
894	0.3273469169
895	0.3272450432
896	0.3271548862
897	0.3270114938
898	0.3269203087
899	0.3268103515
900	0.3266866815
901	0.3265884518
902	0.3265196022
903	0.3264097621
904	0.326330981
905	0.3263082069
906	0.3262887419
907	0.3262011113
908	0.3261384057
909	0.3260517997
910	0.3260071443
911	0.3259315029
912	0.3258764738
913	0.3258465517
914	0.3257527374
915	0.3257015404
916	0.3255977836
917	0.3255052901
918	0.3254289842
919	0.3253123836
920	0.3252750572
921	0.3252447154
922	0.3251405035
923	0.325105813
924	0.3249798088
925	0.3249439096
926	0.3248385936
927	0.3247167389
928	0.3246789116
929	0.3245790841
930	0.3244584602
931	0.3244047037
932	0.3243801651
933	0.3243419198
934	0.3242901156
935	0.3242724847
936	0.3242277655
937	0.324162504
938	0.3240855994
939	0.3240162426
940	0.3239924225
941	0.3239694204
942	0.3238989128
943	0.3237874524
944	0.3237438877
945	0.3237298138
946	0.3236644382
947	0.3235938754
948	0.3235097845
949	0.3234195592
950	0.3233591195
951	0.3233036826
952	0.3232173765
953	0.323112127
954	0.3230198134
955	0.3229971369
956	0.3229062853
957	0.3228719731
958	0.3227871291
959	0.3226645304
960	0.3226316943
961	0.3225960745
962	0.3225741201
963	0.3224744616
964	0.3223907141
965	0.3223241632
966	0.3222633735
967	0.3221485898
968	0.3221138658
969	0.3220213794
970	0.3219509508
971	0.3218851674
972	0.3218547893
973	0.3217970427
974	0.3217214954
975	0.3216867853
976	0.3215982034
977	0.3215446124
978	0.3215075051
979	0.3214208627
980	0.3213497753
981	0.3212539338
982	0.3211859653
983	0.3210815323
984	0.3209968783
985	0.320902683
986	0.3208432909
987	0.3208099857
988	0.320766437
989	0.3206609401
990	0.3205792106
991	0.3205231169
992	0.3204223449
993	0.3203201636
994	0.3202221361
995	0.3201389828
996	0.3200461934
997	0.3199543711
998	0.3199332188
999	0.3198405277
686442
7735
